location_id,formattedAddress,addressLine1,addressLine2,county,zipCode,city,state,latitude,longitude
110,"888 n 4th st, phoenix, az 85004",888 N 4th St,Unknown,Maricopa,85004,Phoenix,AZ,33.4571,-112.06901
111,"6131 n 27th ave, phoenix, az 85017",6131 N 27th Ave,Unknown,Maricopa,85017,Phoenix,AZ,33.52718,-112.11547
112,"2242-2302 e pinchot ave, phoenix, az 85016",2242-2302 E Pinchot Ave,Unknown,Maricopa County,85016,Phoenix,AZ,33.48236,-112.03252
113,"34000 n 27th dr, phoenix, az 85085",34000 N 27th Dr,Unknown,Maricopa,85085,Phoenix,AZ,33.792764,-112.120852
114,"3535 w tierra buena ln, phoenix, az 85053",3535 W Tierra Buena Ln,Unknown,Maricopa,85053,Phoenix,AZ,33.6277,-112.13703
115,"2216 e eugie ter, apt 205, phoenix, az 85022",2216 E Eugie Ter,Apt 205,Maricopa,85022,Phoenix,AZ,33.609425,-112.035241
116,"27 e corona ave, phoenix, az 85040",27 E Corona Ave,Unknown,Maricopa,85040,Phoenix,AZ,33.40539,-112.07184
117,"5102 e piedmont rd, phoenix, az 85044",5102 E Piedmont Rd,Unknown,Maricopa,85044,Phoenix,AZ,33.358391,-111.972488
118,"909 e camelback rd, phoenix, az 85014",909 E Camelback Rd,Unknown,Maricopa,85014,Phoenix,AZ,33.507651,-112.061855
119,"15202 n 40th st, phoenix, az 85032",15202 N 40th St,Unknown,Maricopa,85032,Phoenix,AZ,33.62497,-111.99666
120,"1450 e bell rd, phoenix, az 85022",1450 E Bell Rd,Unknown,Maricopa,85022,Phoenix,AZ,33.64104,-112.05158
121,"5401 e thomas rd, phoenix, az 85018",5401 E Thomas Rd,Unknown,Maricopa,85018,Phoenix,AZ,33.47984,-111.96469
122,"4323 n 27th ave, phoenix, az 85017",4323 N 27th Ave,Unknown,Maricopa,85017,Phoenix,AZ,33.499731,-112.115804
123,"4949 n 7th st, phoenix, az 85014",4949 N 7th St,Unknown,Maricopa,85014,Phoenix,AZ,33.508070000000004,-112.06433
124,"6611 e mayo blvd, phoenix, az 85054",6611 E Mayo Blvd,Unknown,Maricopa,85054,Phoenix,AZ,33.654755,-111.937584
125,"357 w pierson st, phoenix, az 85013",357 W Pierson St,Unknown,Maricopa County,85013,Phoenix,AZ,33.507019,-112.079256
